f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month
Apartment,Private room,Private,flexible,Real Bed,Hackney,65,2,1.5,92,3,1,0.06,10,1,1,1467,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65,579612,Hackney,flexible,Private room,Apartment,4.17438726989564,4,0.693147180559945,0.480453013918201,0,2,1.38629436111989,2,7.29165620917446,53.1682502727925,387.684602232549,2152089,3157114563,4.52178857704904,1,0,0,0
House,Private room,Private,moderate,Real Bed,Hackney,30,2,3,90,2,1,0.1,0,1,1,573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,4839715,Hackney,moderate,Private room,House,3.40119738166216,4,0.693147180559945,0.480453013918201,0,3,1.09861228866811,2,6.35262939631957,40.3559002469835,256.366078223927,328329,188132517,4.49980967033027,1,0,0,0
Apartment,Private room,Private,moderate,Couch,Hackney,150,7,1.5,97,32,1,0.55,10,2,5,1739,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,150,459237,Hackney,moderate,Private room,Apartment,5.01063529409626,49,1.94591014905531,3.78656630819647,1.6094379124341,2,3.49650756146648,2,7.46164039220858,55.6760773426385,415.43486757956,3024121,5258946419,4.57471097850338,2,0,0,0
House,Private room,Private,moderate,Real Bed,Hackney,29,2,1.5,94,52,1,2.62,0,1,1,593,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,29,7284815,Hackney,moderate,Private room,House,3.36729582998647,4,0.693147180559945,0.480453013918201,0,2,3.97029191355212,3,6.38687931936265,40.7922274401022,260.535033827926,351649,208527857,4.54329478227,1,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65,2,1,88,55,3,1.13,0,2,2,1463,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,65,870168,Hackney,moderate,Entire home/apt,Apartment,4.17438726989564,4,0.693147180559945,0.480453013918201,0.693147180559945,2,4.02535169073515,3,7.28892769452126,53.128466935959,387.249554016968,2140369,3131359847,4.47733681447821,2,0,0,0
Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,165,5,2,100,2,1,0.08,0,2,2,797,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,165,4642580,Hackney,strict,Entire home/apt,Apartment,5.10594547390058,25,1.6094379124341,2.59029039398023,0.693147180559945,3,1.09861228866811,2,6.68210859744981,44.6505753081127,298.35999314742,635209,506261573,4.60517018598809,2,0,0,0
Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,3,1,96,27,1,0.78,0,2,1,1037,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,95,2574230,Hackney,moderate,Entire home/apt,Apartment,4.55387689160054,9,1.09861228866811,1.20694896081258,0,2,3.3322045101752,2,6.94505106372583,48.2337342777593,334.985747553222,1075369,1115157653,4.56434819146784,2,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65,4,1,100,3,2,0.69,5,2,2,130,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,65,15460327,Hackney,moderate,Entire home/apt,House,4.17438726989564,16,1.38629436111989,1.92181205567281,0.693147180559945,2,1.38629436111989,2,4.87519732320115,23.7675489401477,115.87149097206,16900,2197000,4.60517018598809,2,0,0,0
Apartment,Private room,Private,moderate,Real Bed,Hackney,28,2,1,90,2,1,0.34,0,1,1,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,28,14661402,Hackney,moderate,Private room,Apartment,3.3322045101752,4,0.693147180559945,0.480453013918201,0,2,1.09861228866811,2,5.16478597392351,26.6750141564371,137.770738969377,30276,5268024,4.49980967033027,1,0,0,0
House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,156,6,2,96,0,4,0.52,0,1,4,405,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,156,12903530,Hackney,moderate,Entire home/apt,House,5.04985600724954,36,1.79175946922805,3.2104019955684,1.38629436111989,3,0,1,6.00635315960173,36.0762782778577,216.686868020882,164025,66430125,4.56434819146784,1,1,1,1
