"timestamp","session_id","respondent_id","segment","variant","intent_0_10"
"2025-12-04 17:13:12.095888","c71W5mgvd6c7BaFg","S001","Budget-conscious student","A",9
"2025-12-04 17:19:29.506785","6SHXiMDeJdpqgwNh","S002","Busy professional","A",8
"2025-12-04 17:34:09.971094","jqF9Q8uiSSNhHHrk","S003","Just browsing / curious","A",4
"2025-12-04 17:38:37.373239","sTzjmF41hbZcGOBh","S004","Just browsing / curious","B",6
"2025-12-04 17:25:40.483794","98ysli7Iw1XGYZL4","S005","Just browsing / curious","A",3
"2025-12-04 16:43:19.442284","kuzqm2eFCV6xuhhy","S006","Busy professional","B",7
"2025-12-04 17:12:07.966753","DJ8eg6t708yo1a3D","S007","Budget-conscious student","B",5
"2025-12-04 17:12:46.391182","jaXhRd2rS2JrsCme","S008","Budget-conscious student","B",6
"2025-12-04 16:56:30.896117","mSnDwAXsUM5oFpnH","S009","Budget-conscious student","A",8
"2025-12-04 17:01:23.045656","v7fCvC0tVoTG2Tlg","S010","Budget-conscious student","A",5
"2025-12-04 17:38:28.654341","jydASNnt7jT9lNg8","S011","Just browsing / curious","B",5
"2025-12-04 16:59:44.171609","yAkUfPpyyRpczKSo","S012","Budget-conscious student","B",7
"2025-12-04 17:19:38.808849","rOscHRkosjsccySP","S013","Budget-conscious student","B",8
"2025-12-04 16:48:23.669502","4TcmrH7ZBnfamtvq","S014","Just browsing / curious","A",3
"2025-12-04 16:54:55.480462","HLe0RH9lFzEotVPA","S015","Budget-conscious student","B",5
"2025-12-04 17:33:05.41738","q8iyxmbeMys6sIJx","S016","Busy professional","A",9
"2025-12-04 17:23:44.517112","YY8KQ09EECNHTm5v","S017","Budget-conscious student","B",6
"2025-12-04 17:33:52.652462","CYfpf1xdtrkmVWto","S018","Just browsing / curious","A",3
"2025-12-04 17:06:02.904643","C532JWOJL9rbN20H","S019","Busy professional","A",5
"2025-12-04 17:07:44.518297","MwzOcNecJtShHNCp","S020","Busy professional","A",5
"2025-12-04 17:00:07.154457","zzTU2oaOtfKaBvuA","S021","Budget-conscious student","A",5
"2025-12-04 17:22:45.975576","1lg4OeOvZyqloeWy","S022","Busy professional","B",9
"2025-12-04 17:05:06.43786","tx4461fDmmnkhi8i","S023","Busy professional","A",8
"2025-12-04 16:41:58.826941","ZJi4IfCDvLepjySu","S024","Just browsing / curious","A",5
"2025-12-04 16:56:51.012794","Yng6UcyVRcd3osQf","S025","Budget-conscious student","A",5
"2025-12-04 17:36:53.46482","EL8ARlJHlndtIZPK","S026","Budget-conscious student","A",6
