Nombre;Estrellas restaurante;Usuario;Titulo comentario;Comentario;Calificacion
Cavieli Ristorante Caffe';5.0;miguelvS3748OL;La mejor noche;"El mejor restaurante que conozco!!!
Nunca antes había probado una comida tan exquisita y un mejor servicio.

Súper recomendado 🙏🏽🙏🏽";5.0
Cavieli Ristorante Caffe';5.0;Josmaryc19;Cena aniversario;Exquisita la comida y la atención de primera.l, el postre súper delicioso la Panacotta. Auténtica  comida Italiana;5.0
Cavieli Ristorante Caffe';5.0;T5640DMdianao;Excelente atención!;"Excelente atención! Carlo muy buen anfitrión, niñas quedaron encantadas!                                                                                             
            Recomendado para ir en pareja o en familia. Ricos postres y menú súper variado!";5.0
Cavieli Ristorante Caffe';5.0;mariamQ9068BF;Comida Italiana;Me sugirieron pizza que es la especialidad de la casa y quede muy satisfecha es única , la masa y los ingredientes deliciosa, el lugar muy agradable para acompañar con vino y conversar, la atención del personal es excelente, definitivamente volvería muchas veces más!;5.0
Cavieli Ristorante Caffe';5.0;diegoraulj;Comida Italiana;Excelente restaurante, la comida, el lugar, la atención. La variedad de pizzas son deliciosas, las pastas, carnes, ambiente. Seguro vuelvo.;5.0
Cavieli Ristorante Caffe';5.0;O2787GHadrianag;Perfecto;Hoy fuimos con la familia por primera vez, calidad excelente, pizza del rey increíble, lugar elegante y muy buena atención de Carlo, rico espagueti con mariscos y risoto 4 quesos, solomito de res y postre pana cotta. De verdad El mejor y verdadero ristorante Italiano....Gracias regreseremos pronto.Más;5.0
Cavieli Ristorante Caffe';5.0;Val3n71n4;La mejor comida italiana real;Esta perla escondida de la gastronomía italiana, te la encuentras en el lugar menos esperado. Sus sabores son deliciosos y lo mejor de todo es la amabilidad y atención de Carlo el dueño y chef.;5.0
Cavieli Ristorante Caffe';5.0;Samuel C;Auténtica  comida italiana en Medellín;"Fui con mi Familia y sin duda alguna fue una gran experiencia. El lugar es acogedor y cuenta con un gran servicio. Comí el espagueti mediterráneo y es de los mejores que me he comido.

 ¡que gran sazón!";5.0
Cavieli Ristorante Caffe';5.0;mauricioe473;Restaurante Cabieli;"Excelente lugar para compartir un buen vino italiano con una rica tabla de carnes y quesos.
Esmeralda y personalizada atención";5.0
Cavieli Ristorante Caffe';5.0;susanarF6641TZ;Toda una experiencia italiana;Mi esposo y yo estuvimos hoy por primera vez almorzando y la experiencia fue muy grata. Comida deliciosa, la atención es excelente y el ambiente es el complemento perfecto para tan exquisita comida. Super recomendado!;5.0
